Designator,Mid X,Mid Y,Rotation,Layer
C1,264.649999,-118.4,90.0,top
C10,238.4,-106.9,315.0,top
C11,267.4,-113.6,0.0,top
C12,236.2,-109.0,315.0,top
C13,267.4,-112.0,0.0,top
C14,234.0,-111.0,315.0,top
C15,244.5,-115.5,225.0,top
C16,214.662501,-85.8,0.0,top
C17,211.2,-78.7775,90.0,top
C18,211.2,-75.2,270.0,top
C19,226.5,-112.5,225.0,top
C2,256.7,-118.5,90.0,top
C20,249.25,-82.5,270.0,top
C21,227.0,-90.5,45.0,top
C22,222.5,-109.5,225.0,top
C23,223.5,-110.5,225.0,top
C24,221.5,-112.0,135.0,top
C25,229.5,-80.5,270.0,top
C26,241.99,-84.365,270.0,top
C27,238.99,-84.365,270.0,top
C28,235.99,-84.365,270.0,top
C29,217.544986,-96.669986,90.0,top
C3,248.35,-118.4,90.0,top
C30,218.0,-117.18,180.0,top
C31,228.25,-91.75,45.0,top
C4,230.25,-93.75,45.0,top
C5,229.25,-92.75,45.0,top
C6,235.0,-97.0,45.0,top
C7,226.0,-94.5,135.0,top
C8,221.5,-99.0,135.0,top
C9,217.0,-88.0,180.0,top
D1,235.031029,-91.968971,45.0,top
D2,240.49,-84.365,90.0,top
D3,237.49,-84.365,90.0,top
D4,234.49,-84.365,90.0,top
D5,213.670183,-105.672963,225.0,top
D6,225.5,-88.75,135.0,top
D7,211.0,-90.1475,270.0,top
J1,238.0,-77.0,270.0,top
J11,203.3475,-103.0,90.0,top
J12,250.75,-128.095,180.0,top
J2,254.3,-82.6,270.0,top
J4,222.0,-78.0,180.0,top
J5,205.775,-126.765,0.0,top
J6,214.345,-127.17,0.0,top
L1,231.881282,-95.118718,45.0,top
L2,210.7,-84.7,270.0,top
Q1,262.685,-110.098649,270.0,top
Q2,262.635,-100.84865,270.0,top
Q3,255.885,-110.048649,270.0,top
Q4,255.835001,-100.79865,270.0,top
Q5,249.28,-110.128649,270.0,top
Q6,249.23,-100.87865,270.0,top
R1,236.03934,-98.23934,45.0,top
R10,235.1,-110.0,315.0,top
R11,233.0,-112.0,315.0,top
R12,249.635,-91.695,90.0,top
R13,239.8,-105.6,315.0,top
R14,213.2,-78.815,90.0,top
R15,213.2,-75.14,90.0,top
R16,268.0,-91.37,270.0,top
R17,268.0,-94.52,270.0,top
R18,266.5,-94.52,90.0,top
R19,215.916637,-103.0,45.0,top
R2,237.1,-99.3,45.0,top
R20,217.93934,-104.93934,45.0,top
R21,257.635,-94.37,90.0,top
R22,217.4,-108.6,45.0,top
R23,259.135,-94.37,90.0,top
R24,259.135,-91.369999,90.0,top
R25,219.5,-106.416637,45.0,top
R26,246.635,-94.52,270.0,top
R27,218.916637,-110.0,45.0,top
R28,245.135001,-91.52,270.0,top
R29,245.135,-94.52,270.0,top
R3,214.0,-92.5,90.0,top
R30,221.0,-107.89012,225.0,top
R31,225.5,-111.5,225.0,top
R32,232.49,-80.54,90.0,top
R34,241.49,-80.365,270.0,top
R35,238.49,-80.365,270.0,top
R36,235.49,-80.365,270.0,top
R37,245.175,-80.48,0.0,top
R38,245.175,-82.99,0.0,top
R39,245.175,-85.5,0.0,top
R4,214.0,-89.0,90.0,top
R40,214.8,-106.7,225.0,top
R41,214.544986,-96.669986,90.0,top
R42,216.044986,-96.669986,90.0,top
R43,218.0,-118.75,0.0,top
R44,224.4,-89.85,135.0,top
R45,224.8,-85.525,270.0,top
R46,220.49,-87.325,270.0,top
R5,263.635,-91.695,90.0,top
R6,237.3,-107.9,315.0,top
R7,232.0,-113.0,315.0,top
R8,231.0,-114.0,315.0,top
R9,254.635,-91.52,90.0,top
SW1,225.0,-118.0,180.0,top
U1,229.0,-103.5,45.0,top
U2,222.7,-86.8,90.0,top
U3,207.295,-77.64,270.0,top
U4,219.0,-92.0,90.0,top
Y1,224.0,-97.0,45.0,top
